agent_type,question_id,runs,avg_em,avg_f1,pass_at_k,answer_consistency,trace_similarity,avg_latency_seconds,blank_predictions
react,5a713b325542994082a3e6b5,5,1.0,1.0,1,1.0,0.7574299142206716,2.234,0
react,5a7153d05542994082a3e7dc,5,1.0,1.0,1,1.0,0.6193336613924849,2.3568,0
react,5a7264ed5542990c210a411a,5,1.0,1.0,1,1.0,0.5306382706334218,3.0492,0
react,5a72688c5542997f827839b2,5,1.0,1.0,1,1.0,0.6930228992531718,2.2754000000000003,0
react,5a72dcb45542992359bc31af,5,1.0,1.0,1,1.0,0.7069469203923788,2.7494,0
react,5a72f74a55429901807daf59,5,1.0,1.0,1,1.0,0.6019381932921849,2.7658,0
react,5a73b55855429978a71e9086,5,1.0,1.0,1,1.0,0.6618368094428929,2.3082000000000003,0
react,5a74f5155542993748c89750,5,1.0,1.0,1,1.0,0.8382822183378357,2.148,0
react,5a74f8bd5542993748c8976a,5,1.0,1.0,1,1.0,0.6370446803139054,2.461,0
react,5a7557d75542992d0ec05f68,5,1.0,1.0,1,1.0,0.609972906483129,2.3406000000000002,0
react,5a75e62f5542992d0ec06013,5,0.0,0.7499999999999999,0,1.0,0.684074383376539,3.9332000000000003,0
react,5a774e415542994aec3b7280,5,1.0,1.0,1,1.0,0.6748246441055499,2.5298,0
react,5a776a805542993735360269,5,1.0,1.0,1,1.0,0.7294098890455768,3.4208,0
react,5a7796e05542992a6e59df0f,5,1.0,1.0,1,1.0,0.8427429833679835,2.7226,0
react,5a78ae8b5542990784727730,5,0.0,0.7972027972027972,0,0.8,0.7156708749102844,2.9072,0
react,5a78b5f7554299148911f95b,5,1.0,1.0,1,1.0,0.5128698420875962,2.9548,0
react,5a78e3b955429974737f78f1,5,1.0,1.0,1,1.0,0.858221726743466,2.6548,0
react,5a78e9a2554299148911f995,5,1.0,1.0,1,1.0,0.5947688983019221,3.2689999999999997,0
react,5a7a112a5542990783324e2b,5,0.0,0.0,0,0.6,0.5785379019692586,3.8193999999999995,0
react,5a7a77425542995eb53be83e,5,1.0,1.0,1,1.0,0.5760539363762848,2.6852000000000005,0
react,5a7b1023554299042af8f6c2,5,1.0,1.0,1,1.0,0.6444386098333467,2.0372,0
react,5a7bb7f2554299042af8f7b6,5,1.0,1.0,1,1.0,0.7258151641463579,2.7891999999999997,0
react,5a7be1ab5542997c3ec972a9,5,0.2,0.7333333333333332,1,0.8,0.5761970848463426,3.8456,0
react,5a7bea3d5542996dd594b847,5,1.0,1.0,1,1.0,0.537389146664426,2.848,0
react,5a7c47c35542990527d55481,5,0.0,0.0,0,1.0,0.7936893566203911,2.6014,0
react,5a7c8ae855429935c91b5207,5,0.0,0.8,0,1.0,0.6800653346205714,3.2674,0
react,5a7ce0ce554299452d57ba92,5,1.0,1.0,1,1.0,0.796245963645283,3.0563999999999996,0
react,5a7cfea2554299452d57babe,5,1.0,1.0,1,1.0,0.7034975443058958,3.2762000000000002,0
react,5a7dc2495542997cc2c4749a,5,1.0,1.0,1,1.0,0.6743885117242043,4.4264,0
react,5a7e05ba5542995f4f402392,5,1.0,1.0,1,1.0,0.7028012175381605,3.1056,0
react,5a7e0ed25542991319bc9424,5,1.0,1.0,1,1.0,0.7575470651534892,3.7072000000000003,0
react,5a7e1b7155429965cec5ea6c,5,1.0,1.0,1,1.0,0.7788828854631135,3.7976,0
react,5a7e618155429949594199b0,5,0.0,0.6666666666666666,0,1.0,0.6795157823838618,2.4829999999999997,0
react,5a7f296f55429934daa2fd10,5,1.0,1.0,1,1.0,0.6276714841221377,2.9862,0
react,5a7f567e5542992097ad2f22,5,1.0,1.0,1,1.0,0.6737808434713084,2.7041999999999997,0
react,5a7f66f155429969796c1a33,5,0.0,0.0,0,1.0,0.6688308927076578,3.1224,0
react,5a80aeef5542992097ad301a,5,1.0,1.0,1,1.0,0.7060640841702535,2.6764,0
react,5a81d0515542990a1d231ed4,5,0.0,0.5735042735042735,0,0.6,0.7253033178080617,3.1363999999999996,0
react,5a8208ee5542990a1d231f1e,5,0.0,0.4,0,0.6,0.6270130906140968,2.1602,0
react,5a82817555429954d2e2eb5a,5,0.8,0.96,1,0.8,0.6432966251016536,3.085,0
react,5a82fe5055429966c78a6ad3,5,0.8,0.9,1,0.8,0.6433830808830809,2.8586,0
react,5a83411655429966c78a6b5d,5,1.0,1.0,1,1.0,0.6425033329638593,2.7034,0
react,5a840e395542992ef85e239d,5,1.0,1.0,1,1.0,0.7732865218159336,2.491,0
react,5a84995d5542997b5ce3fee4,5,0.0,0.6666666666666666,0,1.0,0.6986648351648352,2.4956,0
react,5a84e9d35542994c784dda84,5,0.4,0.7,1,0.6,0.6035068028512569,2.947,0
react,5a851b0d5542997175ce1f7f,5,1.0,1.0,1,1.0,0.6721418410892095,3.3711999999999995,0
react,5a851ba95542997175ce1f81,5,1.0,1.0,1,1.0,0.6677436982998504,2.8853999999999997,0
react,5a86399e5542994775f60733,5,0.0,0.6666666666666666,0,1.0,0.7489500702000702,2.4704,0
react,5a86769c5542994775f60776,5,1.0,1.0,1,1.0,0.7485910761494396,2.4158,0
react,5a86ab7755429960ec39b6bf,5,0.6,0.8666666666666666,1,0.6,0.6704689982022763,3.4137999999999997,0
react,5a87106555429960ec39b71f,5,1.0,1.0,1,1.0,0.7761077728582473,3.1268000000000002,0
react,5a8753d95542994846c1cd63,5,0.2,0.2,1,0.8,0.5424170607289991,2.7030000000000003,0
